SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
2286,829,3,2,1,0,1,0,0
2288,830,2,3,0,1,3,0,0
2292,831,1,1,1,0,2,0,0
2295,832,1,4,1,1,1,0,1
2298,833,1,1,0,1,1,0,0
2300,834,3,4,0,1,2,0,1
2303,835,1,4,1,0,2,0,1
2306,836,1,2,1,1,0,0,0
2308,837,1,2,1,0,2,0,0
2311,838,3,3,1,0,0,0,0
2312,839,1,2,0,1,3,0,0
2316,840,2,2,0,2,1,0,0
2319,841,2,2,1,0,1,0,0
2321,842,2,2,1,0,2,0,0
2324,843,3,4,1,0,2,0,1
2327,844,1,3,1,1,1,0,0
2330,845,1,2,1,0,2,0,0
2333,846,1,2,0,1,2,0,0
2336,847,1,1,0,1,2,0,0
2339,848,1,2,2,0,1,0,0
2342,849,2,2,1,0,2,0,0
2345,850,3,4,0,0,3,0,0
2348,851,3,2,1,0,0,0,1
2349,852,2,2,0,1,2,0,0
2352,853,2,2,0,1,2,0,0
2355,854,3,4,0,1,2,0,0
2358,855,1,1,1,0,1,0,0
2360,856,3,4,2,0,1,1,1
2363,857,1,1,0,1,1,0,0
2365,858,1,2,1,0,2,0,0
2368,859,1,1,1,0,1,0,0
2370,860,1,2,1,0,2,0,0
2373,861,3,4,0,2,1,1,1
2376,862,3,2,1,0,1,0,0
2378,863,3,4,0,0,7,0,0
2385,864,1,3,1,0,2,0,0
2388,865,1,4,0,1,2,1,1
2391,866,2,3,1,0,3,0,1
2395,867,1,3,0,1,2,0,1
2398,868,2,3,0,1,2,1,0
2401,869,3,3,1,0,1,0,0
2403,870,1,2,1,0,2,0,0
2406,871,3,3,0,1,2,0,1
2409,872,2,2,1,1,1,0,0
2412,873,3,4,1,1,2,1,0
2416,874,1,1,1,0,2,0,0
2419,875,1,3,1,0,1,0,1
2421,876,3,4,0,1,2,0,0
2424,877,1,2,1,0,1,0,0
2426,878,3,2,1,0,1,0,0
2428,879,1,2,2,0,1,0,1
2431,880,3,4,1,0,2,0,1
2434,881,1,3,1,0,1,0,1
2436,882,3,3,1,0,1,0,1
2438,883,1,2,1,1,1,0,0
2441,884,2,3,0,1,2,0,0
2444,885,1,1,0,1,1,0,0
2446,886,3,2,0,1,0,0,1
2447,887,1,2,1,0,1,0,0
2449,888,1,2,0,1,1,0,0
2451,889,2,3,1,0,2,0,0
2454,890,1,2,0,1,3,0,0
2458,891,2,3,1,1,1,0,0
2461,892,1,2,0,2,0,0,0
2463,893,2,3,1,1,1,0,0
2466,894,1,1,0,1,2,0,0
2469,895,1,2,1,0,0,0,0
2470,896,1,1,0,1,1,0,0
2472,897,3,3,1,0,1,0,1
2474,898,2,4,2,0,1,1,1
2477,899,2,4,1,0,3,0,0
2481,900,1,3,0,1,3,0,1
2485,901,3,4,0,1,3,0,0
2489,902,1,1,0,1,1,0,0
2491,903,1,2,1,0,2,1,0
2494,904,1,2,1,0,2,0,1
2497,905,2,2,0,1,2,0,0
2500,906,3,2,1,0,1,0,1
2502,907,3,4,1,0,3,0,1
2506,908,1,2,1,1,1,0,0
2509,909,3,2,0,1,2,0,0
2512,910,1,1,0,1,1,0,0
2514,911,3,3,1,0,2,0,0
2517,912,1,1,1,0,2,0,0
2520,913,2,2,0,1,1,0,0
2522,914,3,2,1,0,1,0,0
2524,915,2,1,1,0,1,0,0
2526,916,2,3,0,1,1,0,0
2528,917,2,2,1,0,0,0,1
2529,918,1,2,0,1,1,0,0
2531,919,3,4,0,1,1,1,1
2533,920,2,3,0,1,2,0,1
2536,921,3,2,1,0,1,0,1
2538,922,3,3,1,0,1,0,1
2540,923,1,2,0,1,1,0,0
2542,924,2,2,1,0,2,0,0
2545,925,2,1,0,1,2,0,0
2548,926,3,2,0,1,1,0,1
2550,927,2,2,1,0,2,0,1
2553,928,3,2,1,0,0,0,0
2554,929,3,3,0,1,1,0,1
2556,930,3,3,1,0,0,0,1
2557,931,3,4,1,0,2,0,0
2560,932,2,2,1,0,1,0,0
2562,933,1,1,0,1,1,0,0
2564,934,1,2,0,2,1,0,0
2567,935,1,2,0,1,2,0,0
2570,936,2,2,1,0,0,0,1
2571,937,2,2,1,0,2,0,0
2574,938,1,2,1,0,0,0,1
2575,939,3,2,1,0,0,0,0
2576,940,2,1,0,1,1,0,0
2578,941,3,4,0,2,1,0,1
2581,942,1,1,0,1,1,0,0
2583,943,1,1,0,1,2,0,0
2586,944,3,4,1,0,1,0,0
2588,945,3,2,1,1,0,0,1
2590,946,2,2,0,1,2,0,0
2593,947,1,1,0,1,1,0,0
2595,948,2,2,0,1,2,0,0
2598,949,2,3,0,1,2,0,0
2601,950,1,2,1,0,3,0,0
2605,951,3,3,1,0,2,0,0
2608,952,1,1,0,1,2,0,0
2611,953,2,2,1,0,1,0,1
2613,954,1,2,0,1,1,0,0
2615,955,2,2,1,0,1,0,1
2617,956,1,1,1,0,1,0,0
2619,957,2,2,0,1,2,0,0
2622,958,1,1,0,1,2,0,0
2625,959,1,2,0,1,2,0,1
2628,960,2,1,1,0,2,0,0
2631,961,1,1,1,0,2,0,0
2634,962,2,2,1,0,2,0,1
2637,963,2,3,1,0,1,0,0
2639,964,2,2,0,2,2,0,0
2643,965,3,4,2,0,1,1,0
2646,966,3,2,0,2,2,0,0
2650,967,2,1,0,1,2,0,0
2653,968,2,2,0,1,3,0,1
2657,969,3,3,0,1,2,0,1
2660,970,1,2,1,1,1,0,0
2663,971,2,2,0,1,1,0,1
2665,972,2,2,0,1,1,0,0
2667,973,2,2,0,1,1,0,0
2669,974,3,2,0,1,1,0,1
2671,975,1,1,1,1,1,0,0
2674,976,3,2,0,1,2,0,0
