SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
3724,1336,3,3,0,1,2,0,1
3727,1337,2,2,0,1,1,0,0
3729,1338,2,2,0,1,2,0,0
3732,1339,2,2,0,1,2,0,0
3735,1340,2,2,0,1,2,0,0
3738,1341,2,2,1,0,1,0,0
3740,1342,1,1,0,1,2,0,0
3743,1343,1,1,1,0,1,0,0
3745,1344,2,2,1,0,1,0,0
3747,1345,2,2,1,0,2,0,0
3750,1346,3,3,0,1,2,0,1
3753,1347,3,3,1,0,1,0,0
3755,1348,1,1,0,1,1,0,0
3757,1349,3,3,1,0,3,0,0
3761,1350,1,1,0,1,1,0,0
3763,1351,2,2,0,1,1,0,0
3765,1352,2,2,0,1,1,0,0
3767,1353,2,1,0,1,2,0,0
3770,1354,1,1,0,1,1,0,0
3772,1355,2,2,0,1,2,0,0
3775,1356,1,1,1,0,1,0,0
3777,1357,2,2,0,1,2,0,1
3780,1358,1,1,1,0,2,0,0
3783,1359,2,2,0,1,2,0,0
3786,1360,1,2,1,0,2,0,1
3789,1361,1,1,0,1,2,0,0
3792,1362,1,2,0,1,1,0,0
3794,1363,3,3,1,0,1,0,1
3796,1364,2,2,0,1,2,0,0
3799,1365,3,3,1,0,1,0,0
3801,1366,1,2,1,0,2,0,0
3804,1367,2,2,1,1,1,0,0
3807,1368,2,2,1,0,2,0,0
3810,1369,3,4,1,0,2,0,1
3813,1370,2,2,1,0,2,0,0
3816,1371,3,3,1,0,2,0,0
3819,1372,3,3,0,1,2,0,0
3822,1373,2,3,1,0,3,0,0
3826,1374,1,1,0,1,3,0,0
3830,1375,2,1,0,2,1,0,0
3833,1376,3,2,1,0,1,0,0
3835,1377,2,2,0,1,2,0,0
3838,1378,1,1,1,0,2,0,0
3841,1379,2,2,0,1,2,0,0
3844,1380,2,1,0,1,2,0,0
3847,1381,2,2,1,0,1,0,0
3849,1382,2,2,0,1,2,0,0
3852,1383,1,2,0,1,3,0,0
3856,1384,3,4,0,0,3,0,0
3859,1385,2,3,1,0,4,0,0
3864,1386,2,3,0,1,3,0,1
3868,1387,3,4,1,0,2,0,1
3871,1388,2,3,0,1,3,0,0
3875,1389,2,1,1,0,1,0,0
3877,1390,3,4,1,0,2,0,0
3880,1391,1,1,0,1,1,0,0
3882,1392,3,3,0,1,2,0,0
3885,1393,2,3,0,1,2,0,1
3888,1394,1,1,1,0,2,0,0
3891,1395,1,2,0,1,2,0,0
3894,1396,3,3,0,1,2,0,0
3897,1397,1,2,0,1,2,0,0
3900,1398,1,2,1,0,1,0,0
3902,1399,1,2,0,1,1,0,0
3904,1400,2,3,1,0,2,0,0
3907,1401,2,2,0,1,2,0,0
3910,1402,2,2,1,0,1,0,0
3912,1403,2,3,0,1,3,1,0
3916,1404,1,2,0,1,2,0,0
3919,1405,2,4,1,1,1,0,0
3922,1406,1,1,0,1,1,0,0
3924,1407,1,1,0,1,1,0,0
3926,1408,2,2,0,1,2,0,0
3929,1409,3,3,0,1,2,0,1
3932,1410,1,1,0,1,1,0,0
3934,1411,3,4,1,0,1,1,0
3936,1412,1,2,0,1,2,0,0
3939,1413,1,1,0,1,2,0,0
3942,1414,2,2,1,0,2,0,0
3945,1415,2,2,1,1,1,0,0
3948,1416,2,2,1,0,1,0,0
3950,1417,1,2,1,0,2,0,0
3953,1418,2,3,1,0,1,0,1
3955,1419,2,2,0,1,1,0,0
3957,1420,3,4,1,0,2,1,0
3960,1421,2,1,1,0,1,0,0
3962,1422,1,3,0,1,2,0,1
3965,1423,3,3,1,0,1,0,1
3967,1424,1,4,1,0,2,0,1
3970,1425,2,1,0,1,0,0,0
3971,1426,3,3,0,2,2,0,1
3975,1427,3,3,1,0,2,0,0
3978,1428,1,3,0,1,2,0,0
3981,1429,2,2,1,0,1,0,1
3983,1430,1,2,1,0,1,0,0
3985,1431,1,2,0,1,1,0,0
3987,1432,2,1,0,1,2,0,0
3990,1433,1,2,0,1,2,0,0
3993,1434,2,2,1,0,2,0,1
3996,1435,1,1,1,1,0,0,0
3998,1436,3,2,0,1,1,0,0
4000,1437,2,2,1,0,3,0,0
4004,1438,3,3,1,0,2,1,0
4007,1439,3,4,1,0,3,0,1
4011,1440,1,2,0,1,1,0,0
4013,1441,1,2,1,0,2,0,1
4016,1442,3,2,1,0,1,0,1
4018,1443,1,2,0,1,1,0,0
4020,1444,2,3,1,0,2,0,1
4023,1445,3,3,1,0,2,0,1
4026,1446,2,2,0,1,2,0,0
4029,1447,2,2,1,0,3,0,1
4033,1448,3,3,1,0,3,0,1
4037,1449,2,2,1,0,3,0,1
4041,1450,2,2,1,0,1,0,0
4043,1451,1,2,1,0,1,0,0
4045,1452,1,2,1,0,1,0,0
4047,1453,2,2,1,0,2,0,1
4050,1454,1,3,1,1,1,0,1
4053,1455,3,3,0,1,2,0,0
4056,1456,1,2,0,2,1,0,1
4059,1457,1,3,1,0,1,0,1
4061,1458,1,2,0,1,2,0,1
4064,1459,1,2,0,2,0,0,0
4066,1460,1,3,1,0,2,0,1
4069,1461,1,2,1,0,1,0,0
4071,1462,1,3,1,1,1,0,1
4074,1463,1,2,0,2,0,0,0
4076,1464,2,2,0,1,0,0,1
4077,1465,1,2,0,1,2,0,0
4080,1466,1,2,0,0,2,0,0
4082,1467,1,1,0,1,2,0,0
4085,1468,2,4,1,0,0,0,1
4086,1469,3,3,1,0,2,0,0
4089,1470,2,3,0,1,3,0,0
4093,1471,2,2,1,0,2,0,0
4096,1472,2,2,0,1,1,0,0
4098,1473,2,3,1,1,2,0,0
4102,1474,1,2,0,1,2,0,0
4105,1475,2,4,0,2,4,0,0
4111,1476,2,2,1,0,4,0,0
4116,1477,3,3,1,0,2,0,0
4119,1478,1,2,1,0,1,0,0
4121,1479,1,2,1,0,2,0,0
4124,1480,3,4,1,0,1,0,1
4126,1481,2,4,1,0,0,0,0
4127,1482,2,2,0,1,2,0,0
4130,1483,1,2,0,1,1,0,0
4132,1484,3,4,1,0,1,1,0
4134,1485,1,2,1,0,2,0,0
4137,1486,1,3,0,1,1,0,1
4139,1487,2,3,1,1,2,0,0
4143,1488,2,2,0,1,2,0,0
4146,1489,1,2,1,1,1,0,0
4149,1490,2,3,1,1,1,0,0
4152,1491,2,3,1,0,2,0,0
4155,1492,3,4,0,1,3,0,1
4159,1493,1,3,0,1,3,0,0
4163,1494,1,2,1,0,2,0,0
4166,1495,2,2,1,0,1,0,0
4168,1496,1,2,1,0,2,0,0
4171,1497,1,2,0,1,2,0,0
4174,1498,1,2,1,1,2,0,0
4178,1499,2,2,1,0,3,0,1
4182,1500,2,3,1,0,2,0,1
4185,1501,1,2,1,0,3,0,0
4189,1502,1,3,1,0,2,0,0
4192,1503,1,2,0,1,1,0,1
4194,1504,2,2,1,0,2,0,0
4197,1505,2,3,1,1,1,0,0
4200,1506,2,3,1,0,1,0,1
4202,1507,3,4,1,0,2,0,1
4205,1508,1,2,0,1,2,0,1
4208,1509,3,4,2,0,1,0,0
4211,1510,3,3,1,1,2,0,0
4215,1511,1,1,1,1,1,0,0
4218,1512,1,2,0,1,1,0,0
4220,1513,2,2,0,1,1,0,0
4222,1514,3,2,0,1,1,0,0
4224,1515,2,1,0,1,1,0,0
4226,1516,1,3,1,0,2,0,0
4229,1517,2,2,1,0,2,0,1
4232,1518,2,3,2,0,3,0,0
4237,1519,1,2,1,0,1,0,0
4239,1520,3,3,1,0,2,0,1
4242,1521,2,4,1,1,1,0,1
4245,1522,1,3,1,0,1,0,0
4247,1523,1,2,0,3,0,0,0
4250,1524,2,2,0,1,2,0,0
4253,1525,2,2,0,1,2,0,0
4256,1526,1,2,1,1,1,0,0
4259,1527,2,2,1,0,3,0,0
4263,1528,1,1,1,0,2,0,0
4266,1529,2,1,0,1,2,0,0
4269,1530,1,2,0,1,1,0,0
4271,1531,2,2,0,1,2,0,0
4274,1532,2,2,1,0,2,0,0
4277,1533,1,1,0,2,1,0,0
4280,1534,1,1,0,1,2,0,0
4283,1535,1,2,0,1,2,0,0
4286,1536,2,2,0,1,2,0,0
4289,1537,1,1,0,1,1,0,0
4291,1538,2,2,0,1,2,0,1
4294,1539,1,3,2,0,0,0,0
4296,1540,1,2,1,2,0,0,0
4299,1541,1,2,1,0,3,0,0
4303,1542,3,3,1,0,2,0,1
4306,1543,3,2,1,0,1,0,1
4308,1544,2,4,1,0,2,0,1
4311,1545,2,3,1,0,2,0,0
4314,1546,2,3,1,0,2,0,0
4317,1547,2,2,0,1,2,0,0
4320,1548,1,1,0,1,1,0,0
4322,1549,1,2,1,0,2,0,0
4325,1550,2,2,1,0,1,0,0
4327,1551,2,1,0,1,2,0,0
4330,1552,1,1,1,0,1,0,0
4332,1553,1,1,0,1,2,0,0
4335,1554,1,2,0,1,2,0,0
4338,1555,1,1,1,0,2,0,0
4341,1556,2,3,0,1,3,0,0
4345,1557,1,2,1,0,3,0,0
4349,1558,1,1,1,1,1,0,0
4352,1559,1,2,0,1,1,0,1
4354,1560,2,2,0,1,2,0,0
4357,1561,1,1,1,0,1,0,0
4359,1562,1,2,1,0,2,0,0
4362,1563,3,3,0,1,2,0,0
4365,1564,1,3,0,1,2,0,1
4368,1565,1,3,1,0,2,0,1
4371,1566,2,1,0,1,1,0,0
4373,1567,3,4,1,0,3,0,1
4377,1568,2,2,0,1,1,0,1
4379,1569,1,3,1,0,2,0,0
4382,1570,1,1,0,1,2,0,0
4385,1571,3,4,1,0,3,0,1
4389,1572,1,2,0,1,1,0,0
4391,1573,3,4,1,0,3,0,1
4395,1574,1,2,1,0,1,0,0
4397,1575,3,2,0,1,2,0,0
4400,1576,3,4,2,0,1,1,1
4403,1577,2,3,1,0,2,0,1
4406,1578,3,3,0,1,2,0,0
4409,1579,1,1,0,2,1,0,0
4412,1580,1,2,1,0,1,0,0
4414,1581,3,3,1,0,2,0,1
4417,1582,1,2,0,0,3,0,0
4420,1583,1,2,0,1,2,0,0
4423,1584,1,2,0,1,1,0,0
4425,1585,3,4,1,0,2,1,0
4428,1586,2,2,1,0,2,0,0
4431,1587,3,4,1,0,3,0,1
4435,1588,3,4,2,0,3,0,0
4440,1589,3,4,1,0,2,0,1
4443,1590,1,2,0,0,3,0,0
4446,1591,3,4,1,0,2,0,1
4449,1592,3,3,0,1,1,0,0
4451,1593,1,2,0,1,2,0,0
4454,1594,1,1,0,1,2,0,0
4457,1595,1,2,0,1,3,0,0
4461,1596,2,3,1,0,2,0,0
4464,1597,2,3,1,0,3,0,1
4468,1598,2,2,0,1,2,0,0
4471,1599,2,2,1,0,1,0,0
4473,1600,1,1,0,1,1,0,0
4475,1601,3,4,2,0,2,0,1
4479,1602,2,2,1,0,2,0,1
4482,1603,3,4,1,0,3,0,0
4486,1604,2,2,0,1,2,0,0
4489,1605,1,1,0,1,2,0,0
4492,1606,2,2,0,1,3,0,0
4496,1607,3,3,1,0,2,0,1
4499,1608,1,2,1,1,2,0,0
4503,1609,2,3,2,0,3,0,1
4508,1610,2,2,0,1,1,0,0
4510,1611,3,3,1,1,1,0,1
4513,1612,3,3,1,0,1,0,1
4515,1613,2,1,0,1,2,0,0
4518,1614,2,3,1,0,2,0,1
4521,1615,3,3,1,0,1,0,0
4523,1616,1,2,0,1,2,0,0
4526,1617,2,3,1,0,3,0,0
4530,1618,1,2,0,1,1,0,0
4532,1619,1,2,1,0,1,0,0
4534,1620,1,3,0,1,2,0,0
4537,1621,2,3,0,2,1,0,0
4540,1622,1,2,1,0,2,0,0
4543,1623,1,2,0,1,3,0,0
4547,1624,1,2,0,0,2,0,0
4549,1625,2,2,0,2,1,0,0
4552,1626,1,2,0,1,2,0,0
4555,1627,1,2,0,1,1,0,0
4557,1628,2,2,0,1,1,0,0
4559,1629,3,3,1,0,2,0,0
4562,1630,2,3,0,1,4,0,1
4567,1631,2,3,1,0,3,0,0
4571,1632,1,2,0,1,2,0,0
4574,1633,1,3,1,0,2,0,1
4577,1634,1,2,0,1,2,0,1
4580,1635,2,3,0,1,1,0,1
4582,1636,1,2,1,0,1,0,0
4584,1637,1,1,0,1,2,0,0
4587,1638,3,4,1,0,4,0,1
4592,1639,1,2,0,1,1,0,0
4594,1640,1,2,1,0,1,0,0
4596,1641,2,3,1,0,2,0,1
4599,1642,3,4,1,0,3,0,0
4603,1643,2,2,0,1,2,0,0
4606,1644,3,3,1,1,1,0,0
4609,1645,1,1,0,1,3,0,0
4613,1646,1,2,0,1,1,0,0
4615,1647,1,1,0,1,2,0,0
4618,1648,3,2,1,0,1,0,1
4620,1649,2,2,1,0,2,0,1
4623,1650,3,3,0,1,2,1,1
4626,1651,3,3,0,1,2,0,1
4629,1652,3,2,0,2,3,0,1
4634,1653,1,2,1,0,1,0,0
4636,1654,1,2,1,0,2,0,1
4639,1655,2,2,0,1,2,0,0
4642,1656,3,2,0,1,1,0,0
4644,1657,1,2,0,2,1,0,0
4647,1658,1,2,0,2,1,0,0
4650,1659,2,3,1,0,2,0,0
4653,1660,2,2,1,0,1,0,0
4655,1661,1,2,1,1,1,0,0
4658,1662,2,2,1,0,2,0,1
4661,1663,2,2,0,1,1,0,0
4663,1664,1,2,0,1,1,0,0
4665,1665,1,2,1,0,2,0,1
4668,1666,1,1,0,2,1,0,0
4671,1667,2,3,0,1,3,0,0
4675,1668,1,2,0,1,2,0,1
4678,1669,3,3,1,0,4,0,0
4683,1670,1,1,0,1,1,0,0
4685,1671,3,4,1,1,3,0,0
4690,1672,2,2,0,1,1,0,0
4692,1673,1,1,2,0,1,0,0
4695,1674,2,3,1,0,1,0,1
4697,1675,2,3,1,0,3,0,0
4701,1676,3,3,2,0,1,0,1
4704,1677,3,3,0,1,2,0,1
4707,1678,1,2,1,0,2,0,0
4710,1679,1,4,0,3,1,0,0
4714,1680,2,2,0,2,1,0,0
4717,1681,2,4,1,0,1,1,1
4719,1682,2,3,0,1,3,0,0
4723,1683,1,1,1,0,1,0,0
4725,1684,3,4,1,0,2,0,1
4728,1685,2,2,0,1,1,0,0
4730,1686,2,3,1,1,1,0,1
4733,1687,1,2,1,0,1,0,0
4735,1688,1,3,1,1,1,0,0
4738,1689,1,2,1,0,2,0,0
4741,1690,1,3,0,1,2,0,0
4744,1691,2,2,1,0,2,0,0
4747,1692,2,3,1,0,2,0,1
4750,1693,3,4,1,0,4,0,0
4755,1694,1,3,1,1,2,0,1
4759,1695,3,3,1,0,1,0,1
4761,1696,2,3,0,1,2,0,0
4764,1697,2,3,1,0,2,0,0
4767,1698,1,3,2,0,2,0,0
4771,1699,1,1,0,1,1,0,0
4773,1700,3,3,1,0,2,1,0
4776,1701,1,1,0,1,1,0,0
4778,1702,3,2,1,0,2,0,0
4781,1703,2,2,0,1,2,0,0
4784,1704,3,2,1,0,2,0,1
4787,1705,1,1,0,1,3,0,0
4791,1706,3,2,0,1,1,0,1
4793,1707,2,2,1,0,3,0,0
4797,1708,3,2,1,0,2,0,1
4800,1709,2,3,1,0,1,0,0
4802,1710,3,4,1,0,4,0,0
4807,1711,1,2,0,1,2,0,0
4810,1712,1,2,1,0,2,0,1
4813,1713,1,1,1,0,2,0,0
4816,1714,1,2,1,0,2,0,0
4819,1715,2,2,1,0,4,0,0
4824,1716,2,2,1,0,1,0,0
4826,1717,1,2,1,0,2,0,0
4829,1718,3,3,1,0,2,0,1
4832,1719,2,1,0,1,1,0,0
4834,1720,2,3,0,1,2,0,1
4837,1721,2,2,0,1,1,0,0
4839,1722,1,3,1,0,2,1,0
4842,1723,1,2,0,1,2,0,1
4845,1724,2,2,0,1,1,0,0
4847,1725,1,2,0,2,1,0,0
4850,1726,1,2,1,0,2,0,1
4853,1727,3,4,1,0,5,1,0
4859,1728,3,4,1,0,2,0,0
4862,1729,1,2,1,0,2,0,0
4865,1730,2,2,0,1,2,0,0
4868,1731,1,1,0,1,2,0,0
4871,1732,1,1,0,1,1,0,0
4873,1733,2,2,1,0,2,0,0
4876,1734,1,2,1,0,2,0,0
4879,1735,1,3,0,1,3,0,0
4883,1736,1,2,0,2,1,0,0
4886,1737,1,2,1,0,3,0,0
4890,1738,2,2,1,0,1,0,0
4892,1739,1,1,0,1,0,0,0
4893,1740,1,2,0,1,4,0,0
4898,1741,1,2,1,0,2,0,0
4901,1742,2,2,1,0,2,0,0
4904,1743,3,2,0,1,1,0,1
4906,1744,1,1,1,0,1,0,0
4908,1745,1,2,0,1,2,0,0
4911,1746,2,3,1,1,2,0,0
4915,1747,1,2,1,0,1,0,0
4917,1748,1,2,1,1,2,0,0
4921,1749,3,2,1,0,1,0,0
4923,1750,1,1,1,0,1,0,0
4925,1751,1,3,0,1,1,0,1
4927,1752,1,3,1,1,1,0,1
4930,1753,1,3,1,1,1,0,1
4933,1754,1,1,1,0,1,0,0
4935,1755,1,2,1,0,1,0,1
4937,1756,2,2,1,0,4,0,0
4942,1757,1,2,2,0,0,0,0
4944,1758,2,3,1,0,3,0,1
4948,1759,1,2,1,0,1,0,0
4950,1760,1,2,0,1,1,0,1
4952,1761,2,3,1,1,1,0,0
4955,1762,3,4,1,0,2,0,0
4958,1763,1,3,1,0,2,0,1
4961,1764,1,3,1,0,1,0,0
4963,1765,1,2,1,0,3,0,0
4967,1766,1,2,0,1,1,0,0
4969,1767,3,4,1,0,3,1,0
4973,1768,2,3,1,0,1,0,0
4975,1769,1,1,1,0,1,0,0
4977,1770,1,2,1,0,2,0,1
4980,1771,1,2,1,0,2,0,1
4983,1772,2,2,0,1,1,0,0
4985,1773,2,3,1,0,3,0,0
4989,1774,3,2,0,1,2,0,0
4992,1775,1,2,0,1,1,0,0
4994,1776,2,3,0,1,2,0,0
4997,1777,2,3,1,0,3,0,0
5001,1778,1,2,0,1,2,0,0
5004,1779,1,2,0,1,2,0,0
5007,1780,2,3,1,1,2,0,0
5011,1781,3,4,0,1,4,0,0
5016,1782,2,3,0,1,2,0,0
5019,1783,2,4,0,1,3,0,0
5023,1784,1,2,0,1,4,0,0
5028,1785,3,4,0,1,3,0,0
5032,1786,1,2,0,1,3,0,0
5036,1787,1,2,1,0,3,0,0
5040,1788,1,3,0,1,2,0,0
5043,1789,1,2,0,1,4,0,0
5048,1790,1,2,0,1,1,0,0
5050,1791,1,1,0,1,2,0,0
5053,1792,1,2,1,0,3,0,0
5057,1793,1,2,1,0,2,0,0
5060,1794,3,4,1,0,1,0,1
5062,1795,3,4,1,0,3,0,1
5066,1796,3,3,1,1,1,0,0
5069,1797,1,2,0,1,3,0,0
5073,1798,3,4,1,0,3,0,1
5077,1799,1,3,2,0,1,0,1
5080,1800,1,1,0,1,3,0,0
5084,1801,3,4,1,1,2,1,1
5088,1802,2,3,0,1,3,0,0
5092,1803,3,4,1,0,2,0,0
5095,1804,3,4,1,0,4,0,1
5100,1805,2,3,1,0,2,0,0
5103,1806,2,2,0,1,1,0,0
5105,1807,1,2,0,1,1,0,0
5107,1808,2,3,1,0,2,0,0
5110,1809,1,2,1,0,1,0,0
5112,1810,2,2,1,0,2,0,1
5115,1811,1,2,1,0,2,0,1
5118,1812,1,2,1,0,2,0,0
5121,1813,1,1,0,1,2,0,0
5124,1814,3,3,1,0,2,1,0
5127,1815,2,2,1,0,2,0,1
5130,1816,2,3,1,0,2,0,0
5133,1817,2,2,0,1,2,0,0
5136,1818,2,3,1,0,2,0,0
5139,1819,1,2,0,1,2,0,0
5142,1820,1,2,1,1,2,0,0
5146,1821,1,3,1,0,2,0,0
5149,1822,1,2,3,0,1,0,0
5153,1823,1,2,1,0,2,0,1
5156,1824,1,3,1,0,3,0,1
5160,1825,3,4,1,0,2,1,0
5163,1826,2,4,1,0,3,0,0
5167,1827,1,2,1,0,2,0,1
5170,1828,2,3,1,0,2,0,0
5173,1829,2,3,1,1,2,0,0
5177,1830,1,2,0,1,1,0,0
5179,1831,1,2,1,0,2,0,0
5182,1832,2,2,0,1,2,0,0
5185,1833,2,2,1,0,2,0,0
5188,1834,1,3,1,0,3,0,0
5192,1835,1,2,1,0,1,0,0
5194,1836,2,2,1,0,3,0,0
5198,1837,3,3,1,0,2,0,0
5201,1838,2,2,0,1,2,0,0
5204,1839,1,2,1,0,2,0,0
5207,1840,1,2,1,0,2,0,1
5210,1841,1,2,1,0,1,0,1
5212,1842,3,4,0,1,2,0,1
5215,1843,2,3,1,0,2,0,0
5218,1844,1,2,1,0,2,0,0
5221,1845,2,2,0,1,1,0,0
5223,1846,1,2,0,0,3,0,0
5226,1847,3,2,2,0,2,0,1
5230,1848,3,3,1,0,1,0,0
5232,1849,2,2,0,1,2,0,0
5235,1850,1,2,1,1,1,0,1
5238,1851,3,4,1,0,2,0,1
5241,1852,3,2,0,1,1,0,0
5243,1853,1,2,1,0,3,0,0
5247,1854,1,2,1,0,2,0,0
5250,1855,2,3,1,0,2,0,1
5253,1856,1,3,1,0,2,0,1
5256,1857,1,3,0,2,1,0,0
5259,1858,2,2,1,0,1,0,0
5261,1859,3,4,1,0,3,1,0
5265,1860,1,2,1,0,2,0,0
5268,1861,1,1,0,1,1,0,0
5270,1862,1,2,1,1,1,0,0
5273,1863,1,1,0,1,1,0,0
5275,1864,2,2,1,0,2,0,0
5278,1865,2,3,0,2,1,0,0
5281,1866,2,2,1,0,2,0,0
5284,1867,1,3,0,1,2,0,0
5287,1868,1,3,1,0,3,0,0
5291,1869,3,3,1,1,1,0,0
5294,1870,1,2,1,0,3,0,0
5298,1871,1,2,1,0,0,0,0
5299,1872,2,2,1,0,2,0,0
5302,1873,1,2,0,1,2,0,0
5305,1874,1,2,1,0,2,0,0
5308,1875,1,2,0,1,1,0,1
5310,1876,3,3,1,0,1,0,1
5312,1877,1,2,1,0,3,0,0
5316,1878,1,2,0,1,1,0,0
5318,1879,1,3,1,0,3,0,1
5322,1880,3,3,1,0,2,0,1
5325,1881,3,4,1,0,2,0,1
5328,1882,1,3,1,0,2,0,0
5331,1883,3,4,1,0,2,1,0
5334,1884,1,2,0,1,2,0,0
5337,1885,2,2,1,0,1,0,1
5339,1886,2,2,1,0,0,0,0
5340,1887,1,2,1,0,0,0,0
5341,1888,3,4,0,3,1,0,0
5345,1889,1,2,1,0,0,0,0
5346,1890,2,3,1,0,2,0,1
5349,1891,2,2,1,0,0,0,1
5350,1892,3,2,0,1,2,0,0
5353,1893,2,2,1,0,0,0,0
5354,1894,2,3,1,0,2,0,1
5357,1895,2,2,0,1,2,0,0
5360,1896,2,2,1,0,1,0,1
5362,1897,2,2,1,0,2,0,0
5365,1898,1,2,1,0,1,0,0
5367,1899,3,4,1,2,2,0,0
5372,1900,2,2,0,2,2,0,0
5376,1901,2,2,1,0,0,0,0
5377,1902,1,1,0,1,1,0,0
5379,1903,1,2,1,0,0,0,0
5380,1904,1,2,1,0,1,0,0
5382,1905,1,2,1,0,0,0,0
5383,1906,1,4,1,0,2,0,1
5386,1907,3,4,2,0,3,0,0
5391,1908,2,2,0,1,1,0,0
5393,1909,1,2,1,0,0,0,0
5394,1910,3,4,1,2,1,0,1
5398,1911,1,2,1,0,0,0,0
5399,1912,1,1,1,0,1,0,0
5401,1913,2,2,1,0,1,0,0
5403,1914,1,2,1,0,1,0,0
5405,1915,2,2,1,0,1,0,0
5407,1916,1,2,1,0,1,0,0
5409,1917,1,2,1,0,0,0,0
5410,1918,2,2,1,0,0,0,0
5411,1919,1,2,1,0,1,0,0
5413,1920,2,3,0,1,3,0,0
5417,1921,2,2,1,0,1,0,0
5419,1922,1,2,1,0,2,0,0
5422,1923,2,2,0,1,1,0,0
5424,1924,1,2,1,0,1,0,0
5426,1925,1,1,1,0,1,0,0
5428,1926,1,2,1,0,2,0,0
5431,1927,3,4,1,0,2,0,1
5434,1928,1,2,1,0,1,0,0
5436,1929,3,3,1,0,4,0,0
5441,1930,1,2,1,0,1,0,1
5443,1931,3,4,0,2,1,0,0
5446,1932,1,2,1,0,1,0,0
5448,1933,2,2,1,0,3,0,0
5452,1934,3,4,0,1,3,0,1
5456,1935,3,4,1,1,3,0,0
5461,1936,1,2,1,0,1,0,0
5463,1937,2,1,0,1,1,0,0
5465,1938,1,2,1,0,1,0,0
5467,1939,1,2,1,0,2,0,0
5470,1940,1,3,1,0,2,0,1
5473,1941,1,2,1,0,2,0,0
5476,1942,1,2,1,0,2,0,0
5479,1943,1,2,1,0,0,0,0
5480,1944,1,2,1,0,0,0,0
5481,1945,3,3,1,0,2,0,0
5484,1946,1,1,1,0,0,0,0
5485,1947,1,1,0,1,1,0,0
5487,1948,1,1,1,0,0,0,0
5488,1949,3,2,0,1,2,0,0
5491,1950,1,1,1,0,2,0,0
5494,1951,2,2,1,0,1,0,1
5496,1952,3,4,1,0,2,0,0
5499,1953,1,2,1,0,1,0,0
5501,1954,1,2,0,1,2,0,0
5504,1955,3,2,1,1,1,0,0
5507,1956,1,2,1,0,2,0,0
5510,1957,1,1,0,1,1,0,0
5512,1958,1,2,0,1,3,0,0
5516,1959,2,3,1,1,1,0,0
5519,1960,1,3,1,0,1,0,1
5521,1961,1,2,1,0,2,0,0
5524,1962,2,2,1,1,3,0,0
5529,1963,3,4,2,1,1,0,0
5533,1964,2,2,2,0,2,0,0
5537,1965,2,3,1,1,1,0,0
5540,1966,1,2,1,0,1,0,0
5542,1967,2,3,1,0,1,0,0
5544,1968,3,4,1,0,2,0,0
5547,1969,2,2,0,1,2,0,0
5550,1970,3,2,0,1,2,0,0
5553,1971,3,4,1,0,2,0,0
5556,1972,1,2,0,1,1,0,0
5558,1973,3,3,0,0,3,0,0
5561,1974,2,3,0,1,2,0,1
5564,1975,1,2,0,1,1,0,0
5566,1976,2,2,0,1,1,0,0
5568,1977,3,3,0,0,3,0,0
5571,1978,3,4,0,1,2,0,0
5574,1979,2,4,1,0,2,0,1
5577,1980,3,3,1,1,1,0,0
5580,1981,1,2,0,1,2,0,0
5583,1982,1,2,0,2,2,0,0
5587,1983,3,3,0,1,2,0,0
5590,1984,3,3,0,2,2,0,0
5594,1985,3,3,0,1,2,0,0
5597,1986,2,2,0,1,1,0,0
5599,1987,1,3,0,2,2,0,0
5603,1988,3,3,1,0,1,0,1
5605,1989,3,4,1,0,3,0,0
5609,1990,2,2,0,1,1,0,0
5611,1991,1,1,0,1,1,0,0
5613,1992,2,3,1,0,2,0,1
5616,1993,3,2,0,1,2,0,0
5619,1994,3,1,0,1,1,0,0
5621,1995,3,4,1,0,2,0,1
5624,1996,3,3,1,0,2,0,0
5627,1997,3,3,0,1,2,0,0
5630,1998,3,2,1,0,2,0,0
5633,1999,3,2,0,1,2,0,0
5636,2000,3,2,0,1,1,0,0
5638,2001,3,3,1,0,2,0,0
5641,2002,3,2,0,1,2,0,0
5644,2003,3,3,0,1,3,0,0
5648,2004,3,2,0,1,2,0,0
5651,2005,3,2,0,1,2,0,0
5654,2006,2,4,1,0,2,0,0
5657,2007,1,2,0,2,2,0,0
5661,2008,2,2,1,0,2,0,0
5664,2009,1,2,1,1,2,0,0
5668,2010,2,2,0,1,2,0,0
5671,2011,1,2,1,0,2,0,0
5674,2012,3,4,1,0,3,0,0
5678,2013,3,4,1,0,2,0,1
5681,2014,1,2,0,1,3,0,0
5685,2015,1,2,0,2,1,0,0
5688,2016,1,2,1,0,2,0,1
5759,2017,3,3,0,1,2,1,0
5762,2018,3,1,1,0,3,0,0
5766,2019,3,1,1,0,2,0,0
5769,2020,3,1,0,1,2,0,0
5772,2021,3,1,0,1,1,0,0
5774,2022,3,3,0,2,3,1,0
5779,2023,1,1,1,0,2,0,0
5782,2024,3,1,0,1,1,0,0
5784,2025,1,2,0,0,2,0,0
5786,2026,3,2,0,1,1,0,0
5788,2027,3,4,0,1,4,1,0
5793,2028,1,3,0,1,3,0,1
5797,2029,3,3,0,1,2,0,0
5800,2030,1,2,0,1,1,0,0
